"DATE","nconhh09Q3","nconhh09Q4","nconhh10Q1","nconhh10Q2","nconhh10Q3","nconhh10Q4","nconhh11Q1","nconhh11Q2","nconhh11Q3","nconhh11Q4","nconhh12Q1","nconhh12Q2","nconhh12Q3","nconhh12Q4","nconhh13Q1","nconhh13Q2","nconhh13Q3","nconhh13Q4","nconhh14Q1","nconhh14Q2","nconhh14Q3","nconhh14Q4","nconhh15Q1","nconhh15Q2"
"1995:Q1","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4783.487","4782.898","4782.898","4782.898","4782.898","4782.898","4782.898","4782.898","4782.898"
"1995:Q2","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4850.984","4853.221","4853.221","4853.221","4853.221","4853.221","4853.221","4853.221","4853.221"
"1995:Q3","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4915.318","4917.735","4917.735","4917.735","4917.735","4917.735","4917.735","4917.735","4917.735"
"1995:Q4","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4970.646","4973.546","4973.546","4973.546","4973.546","4973.546","4973.546","4973.546","4973.546"
"1996:Q1","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5043.173","5045.724","5045.724","5045.724","5045.724","5045.724","5045.724","5045.724","5045.724"
"1996:Q2","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5132.633","5133.524","5133.524","5133.524","5133.524","5133.524","5133.524","5133.524","5133.524"
"1996:Q3","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.734","5186.425","5186.425","5186.425","5186.425","5186.425","5186.425","5186.425","5186.425"
"1996:Q4","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5269.022","5266.424","5266.424","5266.424","5266.424","5266.424","5266.424","5266.424","5266.424"
"1997:Q1","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5356.288","5352.243","5352.243","5352.243","5352.243","5352.243","5352.243","5352.243","5352.243"
"1997:Q2","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5393.9","5391.561","5391.561","5391.561","5391.561","5391.561","5391.561","5391.561","5391.561"
